Nom,latitude,longitude,code_postal
CUIRY HOUSSE,49.290068731,3.48799277,02220
CYS LA COMMUNE,49.38382226,3.572113893,02220
DANIZY,49.666963247,3.401269705,02800
DOMMIERS,49.329295145,3.21647485,02600
DOMPTIN,49.015963511,3.27351264,02310
DORENGT,49.965309735,3.703572362,02450
EBOULEAU,49.678280612,3.883051636,02350
EPIEDS,49.104891041,3.450978187,02400
ESTREES,49.970790714,3.280790847,02420
ETREPILLY,49.082286172,3.348074912,02400
FAYET,49.871090562,3.252566688,02100
LA FERTE MILON,49.176033589,3.142644717,02460
FLEURY,49.265998549,3.159612081,02600
FONSOMME,49.901646871,3.396852293,02110
FONTAINE LES CLERCS,49.807747973,3.212506387,02680
FOSSOY,49.045148479,3.485040307,02650
FRANCILLY SELENCY,49.854141837,3.228575101,02760
FROIDMONT COHARTILLE,49.68161995,3.721338383,02270
GERCY,49.815256074,3.871216747,02140
GIBERCOURT,49.739058075,3.282486659,02440
GIZY,49.610347822,3.768198423,02350
GOUDELANCOURT LES PIERREPONT,49.678363622,3.851785989,02350
GRUGIES,49.81014386,3.274594323,02680
GUNY,49.512904264,3.261070554,02300
HARAMONT,49.286927595,3.031830225,02600
LEHAUCOURT,49.911371209,3.27716941,02420
HAUTEVESNES,49.108824183,3.234972253,02810
LA HERIE,49.883870416,4.042664303,02500
HOLNON,49.861136661,3.202266631,02760
HOURY,49.785837538,3.847689224,02140
IVIERS,49.785933284,4.135324918,02360
JEANTES,49.812515074,4.067283497,02140
JUSSY,49.717346112,3.235681354,02480
JUVIGNY,49.448491805,3.31531019,02880
JUVINCOURT ET DAMARY,49.447022654,3.891841259,02190
LANCHY,49.829470974,3.074060636,02590
LANDOUZY LA COUR,49.843975827,3.993525759,02140
LAVAL EN LAONNOIS,49.502634929,3.587938927,02860
LEME,49.843248141,3.758384559,02140
LESGES,49.309603214,3.500318823,02220
LEVERGIES,49.934905429,3.311881328,02420
LIERVAL,49.487595012,3.62219108,02860
LIME,49.323482784,3.555846405,02220
LES SEPTVALLONS,49.355509724,3.653403263,02160
LOUPEIGNE,49.241110951,3.525182829,02130
LUZOIR,49.927526828,3.959425162,02500
MACHECOURT,49.651648281,3.836827166,02350
DHUYS ET MORIN EN BRIE,48.905402633,3.506167879,02330
MARIGNY EN ORXOIS,49.052798872,3.222888181,02810
MEZY MOULINS,49.063345468,3.511155118,02650
MONDREPUIS,49.964398994,4.051613614,02500
MONTCORNET,49.682535369,4.000656525,02340
MONTHUREL,49.027764666,3.552059893,02330
MONTREUIL AUX LIONS,49.027138689,3.195561016,02310
MOY DE L AISNE,49.750649852,3.351124587,02610
NANTEUIL LA FOSSE,49.433709684,3.448175008,02880
NEUVE MAISON,49.929591708,4.04023494,02500
NOYANT ET ACONIN,49.332192555,3.334169702,02200
OISY,50.023259497,3.653031318,02450
OLLEZY,49.73003112,3.145792647,02480
OMISSY,49.880775891,3.297904005,02100
ORGEVAL,49.504581954,3.704594862,02860
ORIGNY STE BENOITE,49.826914428,3.52908035,02390
OSTEL,49.430500353,3.565137785,02370
PARFONDEVAL,49.744216822,4.160683927,02360
PAVANT,48.954478155,3.286775662,02310
PITHON,49.756233204,3.103642764,02480
PONTAVERT,49.417879837,3.820234225,02160
PREMONTRE,49.548612854,3.418121103,02320
PRESLES ET THIERNY,49.514560654,3.625197244,02860
PUISIEUX ET CLANLIEU,49.847148784,3.664076751,02120
RESIGNY,49.740903499,4.20931356,02360
RETHEUIL,49.318780841,3.003765402,02600
ROCOURT ST MARTIN,49.14521147,3.389110046,02210
ROMENY SUR MARNE,48.984734581,3.33449318,02310
ROUPY,49.811956416,3.181682522,02590
ROYAUCOURT ET CHAILVET,49.511855885,3.538030237,02000
ROZET ST ALBIN,49.198064599,3.297584573,02210
ST ALGIS,49.894624407,3.825284117,02260
ST AUBIN,49.510099258,3.188169363,02300
ST GENGOULPH,49.118864858,3.214912367,02810
ST MICHEL,49.926014996,4.152913587,02830
ST NICOLAS AUX BOIS,49.597139141,3.438672978,02410
ST PAUL AUX BOIS,49.545376745,3.202761385,02300
ST SIMON,49.746174524,3.182245974,02640
SAVY,49.834323991,3.197064573,02590
SEPTMONTS,49.337937925,3.362182358,02200
SERY LES MEZIERES,49.764660561,3.423656611,02240
SOMMELANS,49.135745168,3.292411574,02470
SOMMETTE EAUCOURT,49.728510267,3.118473135,02480
SOUCY,49.32198252,3.123032313,02600
TARTIERS,49.440183685,3.231988167,02290
TERGNIER,49.656818136,3.299606912,02700
TORCY EN VALOIS,49.082649786,3.274127222,02810
TRAVECY,49.685606604,3.345025241,02800
TRELOU SUR MARNE,49.091434595,3.601837263,02850
URCEL,49.493641637,3.557450302,02000
LA VALLEE AU BLE,49.857219862,3.794619089,02140
VASSOGNE,49.420812508,3.730213707,02160
VAUX ANDIGNY,50.010714213,3.523380121,02110
VERDILLY,49.074291482,3.422194619,02400
GRAND VERLY,49.943282969,3.581462651,02120
VIGNEUX HOCQUET,49.743699635,3.995146653,02340
VILLEMONTOIRE,49.300177059,3.322039868,02210
VILLERS LE SEC,49.771405605,3.504093929,02240
VILLERS SUR FERE,49.17194041,3.531402762,02130
VILLIERS ST DENIS,48.997440523,3.261162889,02310
VINCY REUIL ET MAGNY,49.713653342,4.045162522,02340
VOHARIES,49.787182304,3.792274408,02140
ARFEUILLES,46.143292065,3.74351109,03120
ARPHEUILLES ST PRIEST,46.226666425,2.665255145,03420
BAGNEUX,46.645415804,3.204592049,03460
BAYET,46.257799091,3.276444635,03500
BEAUNE D ALLIER,46.272555304,2.891108384,03390
BILLEZOIS,46.209405973,3.577127884,03120
BIOZAT,46.081481692,3.288851769,03800
LE BOUCHAUD,46.30778504,3.907625433,03130
BROUT VERNET,46.196819487,3.28873942,03110
LA CELLE,46.228029307,2.779035156,03600
CESSET,46.299244675,3.198543667,03500
CHAMBLET,46.328569434,2.713343647,03170
LA CHAPELAUDE,46.427820641,2.504916111,03380
LA CHAPELLE,46.088450914,3.587410555,03300
LA CHAPELLE AUX CHASSES,46.659918521,3.530096193,03230
CHARROUX,46.182222689,3.164572765,03140
CHATEL MONTAGNE,46.100334912,3.716431682,03250
CHATELUS,46.197821436,3.725356483,03120
CHATILLON,46.462232099,3.129386024,03210
CHAVENON,46.422180164,2.951773198,03440
CHIRAT L EGLISE,46.246475047,3.032567309,03330
COGNAT LYONNE,46.1076201,3.298081608,03110
COULANDON,46.55471178,3.245709904,03000
